MyList,"CSCO, DE, GSL, ZIM, ARCC, MSFT, PFE, O, WIP, VZ, BTI, BXMT, GOOGL, BAC, IBTE, IBHE, IBHF, OMFL, JQUA, VOO, XCCC, BIL"
Funds,"DIA, QQQ, RWR, FEZ, DGT, XNTK, HYMB, TFI, SHM, MBNE, MBND, SPAB, SPBO, SPDW, SPEM, SPEU, SPGM, SPMD, SPYG, SPYD, SPYV, SPSM, SPY, MDY, ESIX, XAR, KBE, XBI, KCE, GXC, SDY, GMF, EWX, GII, GNR, XHE, XHS, XHB, KIE, DWX, GWX, XWEB, XME, NANR, XES, XOP, XPH, KRE, XRT, XSD, XSW, XTL, XTN, LGLV, XLSR, SMLV, XLC, XLY, XLP, XLE, XLF, XLV, XLI, XLB, XLRE, XLK, XLU, TLT, EDV, MOAT"
SP500,"INTC, ADBE, ADP, AES, AFL, A, APD, AKAM, ALK, ALB, ARE, ALGN, ALLE, LNT, ALL, GOOGL, GOOG, MO, AMZN, AMCR, AMD, AEE, AAL, AEP, AXP, AIG, AMT, AWK, AMP, AME, AMGN, APH, ADI, ANSS, AON, APA, AAPL, AMAT, APTV, ACGL, ANET, AJG, AIZ, T, ATO, ADSK, AZO, AVB, AVY, AXON, BKR, BALL, BAC, BBWI, BAX, BDX, WRB, BBY, BIO, TECH, BIIB, BLK, BK, BA, BKNG, BWA, BXP, BSX, BMY, AVGO, BR, BRO, BG, CHRW, CDNS, CZR, CPT, CPB, COF, CAH, KMX, CCL, CARR, CTLT, CAT, CBOE, CBRE, CDW, CE, COR, CNC, CNP, CF, CRL, SCHW, CHTR, CVX, CMG, CB, CHD, CI, CINF, CTAS, CSCO, C, CFG, CLX, CME, CMS, KO, CTSH, CL, CMCSA, CMA, CAG, COP, ED, STZ, CEG, COO, CPRT, GLW, CTVA, CSGP, COST, CTRA, CCI, CSX, CMI, CVS, DHI, DHR, DRI, DVA, DE, DAL, XRAY, DVN, DXCM, FANG, DLR, DFS, DIS, DG, DLTR, D, DPZ, DOV, DOW, DTE, DUK, DD, DXC, EMN, ETN, EBAY, ECL, EIX, EW, EA, ELV, LLY, EMR, ENPH, ETR, EOG, EPAM, EQT, EFX, EQIX, EQR, ESS, EL, ETSY, EG, EVRG, ES, EXC, EXPE, EXPD, EXR, XOM, FFIV, FDS, FICO, FAST, FRT, FDX, FITB, FSLR, FE, FIS, FI, FLT, FMC, F, FTNT, FTV, FOXA, FOX, BEN, FCX, GRMN, IT, GEHC, GEN, GNRC, GD, GE, GIS, GM, GPC, GILD, GL, GPN, GS, HAL, HIG, HAS, HCA, PEAK, HSIC, HSY, HES, HPE, HLT, HOLX, HD, HON, HRL, HST, HWM, HPQ, HUM, HBAN, HII, IBM, IEX, IDXX, ITW, ILMN, INCY, IR, PODD, INTC, ICE, IFF, IP, IPG, INTU, ISRG, IVZ, INVH, IQV, IRM, JBHT, JKHY, J, JNJ, JCI, JPM, JNPR, K, KVUE, KDP, KEY, KEYS, KMB, KIM, KMI, KLAC, KHC, KR, LHX, LH, LRCX, LW, LVS, LDOS, LEN, LNC, LIN, LYV, LKQ, LMT, L, LOW, LYB, MTB, MRO, MPC, MKTX, MAR, MMC, MLM, MAS, MA, MTCH, MKC, MCD, MCK, MDT, MRK, META, MET, MTD, MGM, MCHP, MU, MSFT, MAA, MRNA, MHK, MOH, TAP, MDLZ, MPWR, MNST, MCO, MS, MOS, MSI, MSCI, NDAQ, NTAP, NFLX, NWL, NEM, NWSA, NWS, NEE, NKE, NI, NDSN, NSC, NTRS, NOC, NCLH, NRG, NUE, NVDA, NVR, NXPI, ORLY, OXY, ODFL, OMC, ON, OKE, ORCL, OGN, OTIS, PCAR, PKG, PANW, PARA, PH, PAYX, PAYC, PYPL, PNR, PEP, PFE, PCG, PM, PSX, PNW, PXD, PNC, POOL, PPG, PPL, PFG, PG, PGR, PLD, PRU, PEG, PTC, PSA, PHM, QRVO, PWR, QCOM, DGX, RL, RJF, RTX, O, REG, REGN, RF, RSG, RMD, RVTY, RHI, ROK, ROL, ROP, ROST, RCL, SPGI, CRM, SBAC, SLB, STX, SEE, SRE, NOW, SHW, SPG, SWKS, SJM, SNA, SEDG, SO, LUV, SWK, SBUX, STT, STLD, STE, SYK, SYF, SNPS, SYY, TMUS, TROW, TTWO, TPR, TRGP, TGT, TEL, TDY, TFX, TER, TSLA, TXN, TXT, TMO, TJX, TSCO, TT, TRV, TRMB, TFC, TYL, TSN, USB, UDR, ULTA, UNP, UAL, UPS, URI, UNH, UHS, VLO, VTR, VRSN, VRSK, VZ, VRTX, VFC, VTRS, VICI, V, VMC, WAB, WBA, WMT, WBD, WM, WAT, WEC, WFC, WELL, WST, WDC, WRK, WY, WHR, WMB, WTW, GWW, WYNN, XEL, XYL, YUM, ZBRA, ZBH, ZION, ZTS"
KBE,"EWBC, BOH, PNC, C, CRBG, KEY, COLB, FCNCA, OZK, TFC, FITB, WBS, JPM, FHN, WFC, WAL, PB, WTFC, BK, CFR, BAC, PNFP, EQH, APO, USB, VOYA, MTB, NTRS, HBAN, SNV, ZION, CFG, COOP, CMA, SSB, CADE, VLY, RF, UBSI, JXN, MTG, BPOP, CBSH, ONB, NYCB, RDN, UMBF, ASB, FNB, GBCI, HWC, BKU, HOMB, PFSI, CVBF, FIBK, ESNT, CBU, TCBI, FBP, FHB, FULT, ABCB, AX, WD, UCBI, BOKF, INDB, FFIN, WAFD, SBCF, AUB, PPBI, SFBS, CATY, NMIH, IBTX, TFIN, HTH, WSFS, IBOC, SFNC, BANR, EBC, LKFN, FRME, RNST, FFBC, TRMK, WSBC"
XNTK,"META, NVDA, UBER, CRM, SHOP, PANW, ADBE, AMD, NOW, AVGO, PDD, AMZN, LRCX, INTC, BKNG, MSFT, NFLX, ORCL, INTU, GOOGL, AMAT, MU, TSLA, AAPL, ABNB, SNOW, TSM, ASML, QCOM, ADI, IBM, CSCO, TXN, BABA, JD"
SPYD,"STX, NRG, PKG, PSX, AMGN, DLR, IBM, VZ, IP, T, WMB, KEY, CCI, LYB, IRM, OKE, PRU, FITB, SPG, NTRS, PEG, DOW, PNC, GILD, ABBV, ETR, SO, USB, C, PM, TFC, DUK, ZION, KMI, KHC, MMM, AMCR, REG, FE, HBAN, MO, FRT, VTR, KIM, EIX, MTB, AEP, VICI, CVX, BXP, ARE, IFF, VFC, PSA, PNW, ESS, CMA, VTRS, D, CFG, CAG, O, BBY, BEN, MS, EVRG, EQR, RF, TROW, ES, PFE, IVZ, PEAK, UDR, F, WHR, HAS, WBA"
SPYG,"AAPL, MSFT, NVDA, GOOGL, GOOG, TSLA, AMZN, UNH, LLY, XOM, V, MA, MRK, CVX, ABBV, AVGO, PEP, JNJ, PG, TMO, COST, PFE, HD, KO, DHR, AMGN, QCOM, NOW, COP, ADBE, MCD, AMAT, LIN, ELV, ORCL, AMD, BMY, ACN, DE, PGR, GILD, LRCX, ADP, ABT, VRTX, PANW, REGN, TXN, INTU, SNPS, LOW, BX, PM, CAT, KLAC, CDNS, EOG, LMT, UNP, TJX, MMC, CMG, APD, ORLY, SBUX, ANET, FI, APH, PXD, SCHW, CB, ISRG, FCX, TMUS, MDLZ, AMT, LULU, AXP, NOC, AZO, DXCM, WMB, AON, CPRT, ADI, BSX, NUE, MNST, OKE, OXY, SLB, HES, MO, HUM, CI, WM, AMP, PCG, CL, KVUE, GWW, ODFL, AJG, FTNT, IT, CSGP, ITW, ACGL, CSX, NXPI, ON, MSI, GD, MCK, DG, DVN, MPC, CTAS, HSY, FANG, SRE, PWR, HCA, MCO, FICO, MPWR, DLTR, MAR, ADSK, MRNA, PSA, GIS, TDG, MSCI, EA, A, YUM, TRV, PAYX, MCHP, CTVA, TSCO, STZ, ABNB, MOH, ULTA, HLT, KMB, TRGP, CTRA, RJF, DHI, ADM, IDXX, IQV, PTC, STLD, RSG, LHX, AME, CDW, EXPD, HOLX, VICI, FAST, VLTO, VMC, FSLR, WAT, CMI, VRSK, AXON, HUBB, BIIB, KDP, MTD, MRO, JBHT, SBAC, LW, WRB, EQT, CF, ALB, ENPH, WEC, EXR, GPC, DFS, PODD, EFX, KEYS, WY, CBOE, RMD, NDAQ, MOS, IRM, JKHY, APA, BR, BRO, EG, FDS, DGX, EPAM, ATO, INCY, PFG, MAS, LDOS, ROL, FLT, VRSN, PAYC, IEX, POOL, SNA, MKC, TYL, CLX, GL, K, TER, AES, FMC, BG, GEN, HRL, DPZ, ETSY, NRG, CHRW, CPB, TECH, MKTX, SEDG"
SPYV,"MSFT, META, AMZN, JPM, CRM, WMT, BAC, NFLX, CSCO, INTC, CMCSA, DIS, WFC, PG, ZTS, VZ, HD, ADBE, IBM, JNJ, SPGI, NKE, GE, BA, HON, RTX, T, NEE, GS, BKNG, UPS, ACN, PLD, MDT, BLK, MS, SYK, ETN, AMD, COST, C, CVS, ABT, MU, ZTS, KO, CME, LIN, MCD, SO, EQIX, INTU, ORCL, DUK, UNP, BDX, PM, SHW, ICE, PYPL, TGT, FDX, USB, ROP, PSX, SBUX, ISRG, PH, MMM, PNC, TT, TXN, CAT, EMR, CCI, AXP, NSC, WELL, ADI, ECL, PCAR, AIG, NEM, AMT, AFL, MDLZ, ROST, VLO, CARR, GM, TFC, COF, DLR, EW, TEL, AEP, SPG, CHTR, CB, F, MET, CNC, CI, CEG, BSX, EXC, O, D, BK, SCHW, TJX, SYY, DOW, LOW, ALL, JCI, MO, MMC, CTSH, PRU, OTIS, SLB, FIS, MCK, BKR, KMI, COR, CSX, XEL, PPG, HAL, DD, ITW, URI, ABNB, LEN, ROK, PEG, ED, MPC, MCO, GPN, EL, CL, KR, LMT, IR, MLM, TDG, KHC, CAH, GEHC, GD, WST, WM, WTW, EIX, AWK, HPQ, ANSS, XYL, RCL, TTWO, TMUS, MAR, FI, AVB, CBRE, MSI, LYB, ZBH, FTV, HIG, DAL, CHD, APTV, WBD, STT, HCA, MCHP, HLT, AON, TROW, HPE, GLW, EBAY, HUM, KMB, NXPI, DTE, ETR, MTB, ADSK, WAB, ES, HWM, IQV, AEE, ADM, STE, FITB, DOV, CTAS, IDXX, EQR, DHI, PHM, AJG, NTAP, PPL, IFF, LH, INVH, NVR, FE, TDY, TRV, NOC, VRSK, DRI, EXPE, GRMN, SRE, VTR, BAX, LHX, BIIB, AME, CNP, MSCI, AKAM, BALL, FAST, STZ, ARE, PAYX, COO, CMS, NTRS, HBAN, ILMN, CINF, J, OMC, KDP, RF, AVY, CMI, PSA, WDC, SWKS, LUV, STX, ALGN, TXT, LVS, CCL, PKG, A, RSG, MAA, WBA, AMCR, SWK, BBY, CE, ESS, EXR, SYF, EFX, CAG, TSN, L, VICI, UAL, CFG, IP, LNT, NDSN, YUM, WEC, HST, ZBRA, GIS, LYV, KIM, BR, IPG, LKQ, VMC, SBAC, EVRG, KEY, TRMB, TAP, SJM, KEYS, VTRS, RVTY, MGM, EA, PNR, RMD, NI, WRK, TFX, CDW, REG, FFIV, UDR, KMX, CRL, CTVA, EMN, DFS, WY, CLX, BG, CPT, VRSN, CZR, HII, AOS, QRVO, PEAK, ALLE, JNPR, TYL, MTCH, AIZ, RHI, HSIC, UHS, PNW, MTD, NWSA, FLT, BXP, AAL, WYNN, MKC, BWA, BBWI, EG, DPZ, FOXA, TPR, GNRC, TER, BRO, BEN, CTLT, FRT, FDS, IRM, PARA, NDAQ, XRAY, ATO, IEX, NCLH, PFG, BIO, IVZ, CBOE, K, SNA, HAS, WHR, CMA, GEN, NRG, DVA, VFC, ZION, DGX, RL, GPC, LDOS, TECH, POOL, SEE, ALK, EPAM, AES, MHK, MKTX, CHRW, ETSY, MAS, FOX, GL, CPB, NWS, HRL"
SPMD,"DECK, BLDR, RS, JBL, GDDY, CSL, MANH, GGG, WPC, RPM, ELS, LII, WSO, DT, SMCI, ACM, GLPI, VST, OC, WSM, FNF, NBIX, LECO, UTHR, OVV, BURL, RNR, RGA, FIVE, CCK, SAIA, CASY, REXR, PFGC, EME, XPO, USFD, FND, BLD, TOL, SCI, CHK, CUBE, NLY, EWBC, ITT, LAMR, NVT, CLF, FBIN, BJ, KNX, WTRG, TTC, CHE, PEN, TTEK, WMS, MTN, ATR, IBKR, CW, WWD, RGEN, DKS, CLH, LSCC, LNW, X, RGLD, RRX, ALLY, SKX, UNM, EGP, CHDN, ALV, LEA, RRC, BERY, OHI, WBS, ORI, KNSL, NYT, DINO, TREX, WEX, AFG, VOYA, TXRH, FCN, PRI, RBC, JAZZ, JLL, NOV, NNN, CG, ERIE, DCI, MORN, OLED, LAD, CACI, ARMK, CELH, DBX, SWN, MUSA, WING, FHN, BWXT, SSD, GNTX, AGCO, OGE, THC, DAR, AXTA, KBR, GPK, BRBR, EXEL, TPX, HRB, ONTO, WCC, CIEN, NYCB, QLYS, UFPI, INGR, MIDD, PCTY, CHRD, MAT, ACHC, GXO, AR, ARW, WFRD, EHC, WH, CROX, CGNX, BRX, STAG, MSA, SWAV, EXP, MTDR, BRKR, SF, OSK, MUR, SAIC, CFR, MEDP, JEF, FR, LSTR, SIGI, FAF, PVH, OLN, STWD, SEIC, CIVI, HXL, SRC, HR, LFUS, CHX, PLNT, CBSH, HQY, ADC, G, PB, SSB, CPRI, AYI, PNFP, DTM, BC, GTLS, FLR, RLI, SON, OPCH, AZPN, CMC, THO, WTS, GMED, H, WTFC, VNT, MKSI, ESNT, NOVT, CR, EVR, DLB, SNX, HALO, MMS, FLS, MTG, ST, TMHC, LNTH, IDA, PBF, R, FYBR, PR, AA, COHR, IRDM, AMG, VVV, TKR, NXST, TDC, EXLS, COLB, NFG, AIRC, KRG, TKO, MSM, VMI, UGI, WOLF, CADE, KEX, AM, MTSI, OLLI, SNV, UBSI, THG, OZK, PII, SFM, POWI, ZI, ESAB, VAL, ONB, WU, SRCL, POST, M, ASGN, FNB, GPS, AVT, CNM, CBT, BYD, RYN, HOMB, RH, MASI, CRUS, POR, FCFS, KD, PRGO, NJR, EEFT, HAE, NSP, WLK, ASH, COTY, LOPE, ETRN, CC, CNXC, KBH, FLO, SYNA, GT, EXPO, LPX, GME, MDU, VLY, HOG, GATX, VNO, GBCI, NVST, PENN, MAN, YETI, BCO, NEU, MTZ, PCH, AN, ENS, CAR, ORA, PNM, HWC, SWX, KRC, SLGN, BKH, JHG, COKE, BHF, AZTA, SBRA, SLM, QDEL, CNX, EPR, LANC, KNF, FFIN, VC, NEOG, TEX, SLAB, SAM, BLKB, CVLT, SR, ALE, WEN, PK, OGS, AVNT, UMBF, CUZ, TGNA, IRT, AMED, NARI, LEG, NWE, ADNT, CNO, ZD, LITE, MPW, DOCS, PAG, AMKR, IPGP, PGNY, VSH, RUN, GO, BDC, FHI, DOC, IART, CHH, NSA, COLM, CDP, ASB, KMPR, TCBI, TNL, FOXF, CRI, WERN, HELE, HGV, CXT, VAC, ENOV, LIVN, CABO, IBOC, VSTS, SMG, MP, GHC, ARWR, CALX, PDCO, VYX, RCM, ALGM, GEF, MODG, UAA, UA, JWN, SHC, HTZ, PPC"
OMFL,"META, MSFT, LLY, AAPL, V, GOOGL, NVDA, AVGO, MA, PG, JNJ, ADBE, HD, COST, XOM, MRK, ABBV, CRM, MCD, ACN, CVX, CSCO, INTU, KO, LIN, NOW, AMGN, UNP, SPGI, TXN, AMAT, BKNG, VZ, IBM, SBUX, TJX, PANW, ABT, MMC, GILD, BMY, LMT, SNPS, VRTX, ADI, BLK, ADP, KLAC, CDNS, WM, MO, LRCX, MCK, ZTS, AON, ITW, ORLY, COP, MCO, CL, AJG, AFL, REGN, MAR, CTAS, AZO, CB, ADSK, ROST, CPRT, MCHP, EOG, EA, ABNB, IT, KMB, PAYX, PSA, RSG, TRV, CTSH, CRWD, VRSK, GWW, IDXX, ICE, ACGL, DECK, YUM, APH, FTNT, MMM, TEAM, BR, EW, VRSN, AKAM, ED, MANH, AMP, EXPD, EXPE, EBAY, HST, WY, FDS, NVR, PXD, BRO, CTRA, DRI, EXR, LAMR, SPG, WSM, ULTA, WEC, HRB, CLX, NDAQ, WRB, CHE, FFIV, DT, KEYS, RS, POOL, T, DDOG, CSGP, SWKS, WSO, MTD, DBX, SPLK, LOPE, GGG, LECO, DASH, ROL, HSY, CDW, GL, OGE, TER, PINS, PFG, IEX, GPC, DOX, QRVO, DLB, INCY, HOLX, CHRW, MSI, LSTR, PSTG, TDC, LYV, BIIB, GDDY, ON, CF, SEIC, NTAP, ANSS, SCCO, MSGS, HUBS, BLDR, ELS, CCI, NEE, PGR, NFG, CLH, CHH, JBL, LKQ, EPAM, FNF, WMS, WU, DVA, ATO, LIN, WMT, DOCU, CHD, MAA, JKHY, LSCC, APA, DCI, CBSH, TPR, BBY, SIRI, FBIN, TPL, PAYC, BSY, EVRG, AOS, GNTX, OLN, MEDP, ALSN, AFG, SAIC, DV, NDSN, EXP, BYD, TSCO, CRUS, A, RNG, SNOW, WH, CHTR, CPT, IPGP, CRI, EQR, IDA, GLPI, HON, MSM, AZPN, FAST, ALGM, MKTX, GIS, AYI, NEM, DNB, UPS, CBRE, UGI, VIRT, PM, LOW, TECH, AM, TYL, HE, RYN, ENOV, PINC, UI"
XRT,"CVNA, LESL, SBH, CWH, RVLV, KSS, LAD, M, AAP, KMX, GME, BBWI, ASO, WBA, CHWY, DDS, AN, ABG, FL, COST, PAG, JWN, ANF, DBI, GES, VVV, DLTR, EYE, SIG, SFM, DKS, BBY, GPI, BOOT, BURL, TSCO, TGT, DG, ACI, AMZN, ULTA, ROST, WMT, EBAY, ETSY, URBN, MUSA, ORLY, AZO, TJX, CASY, PSMT, FIVE, BJ, AEO, WRBY, KR, VSCO, GPS, GO, ODP, OLLI, SAH, BKE, MNRO, UPBD, WINA, HIBB, CAL, HZO, CRMT, SCVL, WMK, IMKTA, GCO, ARKO"
MOAT,"USB, ALLE, WFC, SCHW, MKTX, EFX, ICE, IFF, CRM, TER, GILD, MAS, KEYS, ETSY, RTX, A, ECL, BIIB, MDT, TYL, GOOGL, DIS, ZBH, CTVA, CMCSA, CPB, NKE, VEEV, EL, PFE, TRU, BLK, BAC, MSFT, BK, TMO, EMR, WAT, MCHP, HII, BMY, MMM, ROP, HON, AMZN, MO, FTNT, K"